instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,sum_check
42,2011-02-11,Spring,0,2,No Holiday,5,1,1,7.752731000000001,10.67545,50.6364,7.272849999999999,149,1597,7.465082736399547,1746
43,2011-02-12,Spring,0,2,No Holiday,6,0,1,9.1225,11.6477,54.4167,13.625589,288,1184,7.294377299288821,1472
44,2011-02-13,Spring,0,2,No Holiday,0,0,1,12.977402000000001,16.20565,45.7391,17.479160999999998,397,1192,7.370860166536716,1589
45,2011-02-14,Spring,0,2,No Holiday,1,1,1,17.015,19.9175,37.583299999999994,27.999836,208,1705,7.556427969440253,1913
46,2011-02-15,Spring,0,2,No Holiday,2,1,1,10.909567000000001,12.7137,31.434800000000003,19.522058,140,1675,7.503840746698951,1815
47,2011-02-16,Spring,0,2,No Holiday,3,1,1,13.048701000000001,15.809999999999999,42.3478,16.869996999999998,218,1897,7.656810091480378,2115
48,2011-02-17,Spring,0,2,No Holiday,4,1,1,17.869153,21.4329,50.5,15.416968,259,2216,7.813995675002791,2475
49,2011-02-18,Spring,0,2,No Holiday,5,1,1,21.388347,25.599149999999998,51.6667,17.749975000000003,579,2348,7.9817332866918855,2927
50,2011-02-19,Spring,0,2,No Holiday,6,0,1,16.365847,19.5702,18.7917,34.000021,532,1103,7.399398083331354,1635
51,2011-02-20,Spring,0,2,No Holiday,0,0,1,11.693897,13.8665,40.7826,14.956745,639,1173,7.502186486602924,1812
52,2011-02-21,Spring,0,2,Holiday,1,0,2,12.436653000000002,14.203750000000001,60.5,20.625682,195,912,7.009408932708637,1107
53,2011-02-22,Spring,0,2,No Holiday,2,1,1,7.471102,9.30165,57.7778,13.110761,74,1376,7.27931883541462,1450
54,2011-02-23,Spring,0,2,No Holiday,3,1,1,9.091299,12.28585,42.3043,6.3055710000000005,139,1778,7.558516743045645,1917
55,2011-02-24,Spring,0,2,No Holiday,4,1,2,12.121732000000002,14.459549999999998,69.7391,16.783231999999998,100,1707,7.499423290592229,1807
56,2011-02-25,Spring,0,2,No Holiday,5,1,2,14.938268,17.52305,71.2174,23.218113,120,1341,7.2868764117507,1461
57,2011-02-26,Spring,0,2,No Holiday,6,0,1,11.5825,14.1096,53.7917,12.500257,424,1545,7.585281078639126,1969
58,2011-02-27,Spring,0,2,No Holiday,0,0,1,14.082598,17.55545,68.0,8.391615999999999,694,1708,7.784057002639929,2402
59,2011-02-28,Spring,0,2,No Holiday,1,1,2,16.698193,20.005899999999997,87.63640000000001,19.408962,81,1365,7.27655640271871,1446
60,2011-03-01,Spring,0,3,No Holiday,2,1,1,10.933347,13.19395,53.5,14.500475,137,1714,7.523481312573497,1851
61,2011-03-02,Spring,0,3,No Holiday,3,1,1,13.735000000000001,16.00355,44.9583,20.624811,231,1903,7.665753431861699,2134
62,2011-03-03,Spring,0,3,No Holiday,4,1,1,8.131653,10.00665,31.833299999999998,15.125518000000001,123,1562,7.429520842786462,1685
63,2011-03-04,Spring,0,3,No Holiday,5,1,2,10.728347,12.783949999999999,61.0417,13.624182,214,1730,7.572502985020384,1944
64,2011-03-05,Spring,0,3,No Holiday,6,0,2,15.750846999999998,18.93895,78.91669999999999,16.875357,640,1437,7.638679823876112,2077
65,2011-03-06,Spring,0,3,No Holiday,0,0,2,15.437402,18.3126,94.8261,23.000229,114,491,6.405228458030842,605
66,2011-03-07,Spring,0,3,No Holiday,1,1,1,10.731299,11.92305,55.1304,22.870584,244,1628,7.534762657037537,1872
67,2011-03-08,Spring,0,3,No Holiday,2,1,1,11.9925,15.120000000000001,42.0833,8.083549999999999,316,1817,7.665284718471351,2133
68,2011-03-09,Spring,0,3,No Holiday,3,1,2,12.129153,14.3304,77.5417,14.750050000000002,191,1700,7.544861068658458,1891
69,2011-03-10,Spring,0,3,No Holiday,4,1,3,15.952731,19.2834,0.0,17.545759,46,577,6.434546518787453,623
70,2011-03-11,Spring,0,3,No Holiday,5,1,2,12.977402000000001,15.25,64.95649999999999,15.60899,247,1730,7.589335823170617,1977
71,2011-03-12,Spring,0,3,No Holiday,6,0,1,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,724,1408,7.664815785285735,2132
72,2011-03-13,Spring,0,3,No Holiday,0,0,1,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,982,1435,7.790282380703483,2417
73,2011-03-14,Spring,0,3,No Holiday,1,1,1,13.333896999999999,16.6,49.695699999999995,9.174042,359,1687,7.6236419465115715,2046
74,2011-03-15,Spring,0,3,No Holiday,2,1,2,13.013031,15.908900000000001,65.5652,12.348703,289,1767,7.628517626575055,2056
75,2011-03-16,Spring,0,3,No Holiday,3,1,2,14.973897000000001,18.3465,77.65220000000001,13.608839,321,1871,7.692569648067906,2192
76,2011-03-17,Spring,0,3,No Holiday,4,1,1,17.015,20.51665,60.291700000000006,14.041792999999998,424,2320,7.917171988845776,2744
77,2011-03-18,Spring,0,3,No Holiday,5,1,1,22.14,26.35045,52.5217,15.478139,884,2355,8.08301991917133,3239
78,2011-03-19,Spring,0,3,No Holiday,6,0,1,19.3725,23.32625,37.9167,24.667189,1424,1693,8.044626279767337,3117
79,2011-03-20,Spring,0,3,No Holiday,0,0,1,13.6325,16.287499999999998,47.375,13.917307,1047,1424,7.81237820598861,2471
80,2011-03-21,Summer,0,3,No Holiday,1,1,2,17.647835,20.48675,73.73910000000001,19.348461,401,1676,7.638679823876112,2077
81,2011-03-22,Summer,0,3,No Holiday,2,1,1,18.108347,22.0321,62.4583,15.125250000000001,460,2243,7.902117546276448,2703
82,2011-03-23,Summer,0,3,No Holiday,3,1,2,14.225237,16.89695,83.9565,15.695487,203,1918,7.659642954564682,2121
83,2011-03-24,Summer,0,3,No Holiday,4,1,2,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,166,1699,7.5310163320779155,1865
84,2011-03-25,Summer,0,3,No Holiday,5,1,1,10.830846999999999,12.8156,49.5,15.458575000000002,300,1910,7.700747794511798,2210
85,2011-03-26,Summer,0,3,No Holiday,6,0,1,10.899153,12.87855,39.4167,14.041257,981,1515,7.822444729489319,2496
86,2011-03-27,Summer,0,3,No Holiday,0,0,2,10.374763000000002,12.51695,49.3913,12.348099999999999,472,1221,7.4342573821331355,1693
87,2011-03-28,Summer,0,3,No Holiday,1,1,1,10.838268000000001,12.878700000000002,30.2174,14.217668,222,1806,7.614805364711073,2028
88,2011-03-29,Summer,0,3,No Holiday,2,1,1,12.4025,14.6454,31.4167,15.208732,317,2108,7.793586803371584,2425
89,2011-03-30,Summer,0,3,No Holiday,3,1,2,12.299999999999999,14.8675,64.6667,11.583495999999998,168,1368,7.336936913707618,1536
90,2011-03-31,Summer,0,3,No Holiday,4,1,3,11.001653,12.87875,91.8333,14.582282000000001,179,1506,7.429520842786462,1685
91,2011-04-01,Summer,0,4,No Holiday,5,1,2,12.299999999999999,14.172699999999999,68.625,17.333436,307,1920,7.708410667257367,2227
92,2011-04-02,Summer,0,4,No Holiday,6,0,2,12.915000000000001,15.78185,65.375,13.208782,898,1354,7.719573989259581,2252
93,2011-04-03,Summer,0,4,No Holiday,0,0,1,15.511652999999999,18.93835,48.0,12.208271000000002,1651,1598,8.0861025356691,3249
94,2011-04-04,Summer,0,4,No Holiday,1,1,1,23.506653,27.14645,42.625,25.833257,734,2381,8.043984431221553,3115
95,2011-04-05,Summer,0,4,No Holiday,2,1,2,16.980847,19.9175,64.2083,26.000488999999998,167,1628,7.492760300922379,1795
96,2011-04-06,Summer,0,4,No Holiday,3,1,1,16.024153,19.3804,47.0833,17.625221,413,2395,7.940227765145702,2808
97,2011-04-07,Summer,0,4,No Holiday,4,1,1,17.9375,21.684800000000003,60.291700000000006,10.874904,571,2570,8.052296499538647,3141
98,2011-04-08,Summer,0,4,No Holiday,5,1,2,13.769153,16.223950000000002,83.625,15.208464,172,1299,7.293697720601438,1471
99,2011-04-09,Summer,0,4,No Holiday,6,0,2,14.0425,17.07645,87.75,8.916561,879,1576,7.805882040228621,2455
100,2011-04-10,Summer,0,4,No Holiday,0,0,2,17.493347,21.33685,85.75,9.833389,1188,1707,7.970740390007095,2895
101,2011-04-11,Summer,0,4,No Holiday,1,1,2,24.421732,28.260849999999998,71.6956,21.739758,855,2493,8.116118431609365,3348
102,2011-04-12,Summer,0,4,No Holiday,2,1,2,20.6025,24.6527,73.9167,18.416892999999998,257,1777,7.617759576608505,2034
103,2011-04-13,Summer,0,4,No Holiday,3,1,2,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,209,1953,7.6787889981991535,2162
104,2011-04-14,Summer,0,4,No Holiday,4,1,1,19.1675,23.1371,54.041700000000006,7.4169,529,2738,8.09162741160107,3267
105,2011-04-15,Summer,0,4,Holiday,5,0,1,18.313347,22.09565,67.125,15.167124999999999,642,2484,8.047509510981422,3126
106,2011-04-16,Summer,0,4,No Holiday,6,0,3,17.664153000000002,21.2746,88.83330000000001,22.834136,121,674,6.678342114654332,795
107,2011-04-17,Summer,0,4,No Holiday,0,0,1,18.723347,22.2848,47.9583,20.334232,1558,2186,8.227909837597483,3744
108,2011-04-18,Summer,0,4,No Holiday,1,1,1,21.0125,25.1573,54.25,10.958988999999999,669,2760,8.14002395246292,3429
109,2011-04-19,Summer,0,4,No Holiday,2,1,2,20.739152999999998,24.4629,66.5833,10.584057,409,2795,8.07215530818825,3204
110,2011-04-20,Summer,0,4,No Holiday,3,1,1,24.395,28.2196,61.4167,16.208975,613,3331,8.279950715722526,3944
111,2011-04-21,Summer,0,4,No Holiday,4,1,1,18.825847,22.6946,40.708299999999994,21.792286,745,3444,8.340217320947035,4189
112,2011-04-22,Summer,0,4,No Holiday,5,1,2,13.803347,16.0977,72.9583,14.707906999999999,177,1506,7.428333194190806,1683
113,2011-04-23,Summer,0,4,No Holiday,6,0,2,18.86,22.50605,88.79169999999999,15.458575000000002,1462,2574,8.3030093814735,4036
114,2011-04-24,Summer,0,4,No Holiday,0,0,2,23.848347,27.58815,81.08330000000001,12.875725000000001,1710,2481,8.340694647925071,4191
115,2011-04-25,Summer,0,4,No Holiday,1,1,1,24.873347,28.725,77.6667,12.417311,773,3300,8.312135107648412,4073
116,2011-04-26,Summer,0,4,No Holiday,2,1,1,25.898346999999998,29.704150000000002,72.9167,21.875500000000002,678,3722,8.389359819906353,4400
117,2011-04-27,Summer,0,4,No Holiday,3,1,2,25.419999999999998,28.7571,83.54169999999999,20.917399999999997,547,3325,8.261526448396468,3872
118,2011-04-28,Summer,0,4,No Holiday,4,1,2,25.317500000000003,28.946450000000002,70.08330000000001,21.500836000000003,569,3489,8.30844552038576,4058
119,2011-04-29,Summer,0,4,No Holiday,5,1,1,20.91,24.87315,45.7083,16.084221,878,3717,8.432724034789787,4595
120,2011-04-30,Summer,0,4,No Holiday,6,0,1,19.3725,23.201050000000002,50.3333,15.750025,1965,3347,8.57772369115627,5312
121,2011-05-01,Summer,0,5,No Holiday,0,0,2,18.518347,22.4102,76.2083,7.125718,1138,2213,8.11701408773731,3351
122,2011-05-02,Summer,0,5,No Holiday,1,1,2,22.515846999999997,26.64165,73.0,12.291418,847,3554,8.38958706681109,4401
123,2011-05-03,Summer,0,5,No Holiday,2,1,2,25.283347,29.10395,69.7083,22.958689,603,3848,8.400884069015854,4451
124,2011-05-04,Summer,0,5,No Holiday,3,1,2,16.980847,20.2325,73.70830000000001,22.042732,255,2378,7.87587915949631,2633
125,2011-05-05,Summer,0,5,No Holiday,4,1,1,18.825847,22.09585,44.4167,19.791263999999998,614,3819,8.396831834745054,4433
126,2011-05-06,Summer,0,5,No Holiday,5,1,1,19.645847,23.70585,59.0,15.292482,894,3714,8.435549202375727,4608
127,2011-05-07,Summer,0,5,No Holiday,6,0,1,21.32,25.63105,54.125,10.750150000000001,1612,3102,8.458292083496076,4714
128,2011-05-08,Summer,0,5,No Holiday,0,0,1,21.661653,25.946649999999998,63.1667,5.0007125,1401,2932,8.374015421739909,4333
129,2011-05-09,Summer,0,5,No Holiday,1,1,1,21.8325,26.2623,58.875,11.792,664,3698,8.380685946761574,4362
130,2011-05-10,Summer,0,5,No Holiday,2,1,1,21.8325,26.13605,48.9167,7.749956999999999,694,4109,8.476996001664824,4803
131,2011-05-11,Summer,0,5,No Holiday,3,1,1,22.2425,26.419999999999998,63.29169999999999,8.083014,550,3632,8.338544879988579,4182
132,2011-05-12,Summer,0,5,No Holiday,4,1,1,21.935000000000002,26.16815,74.75,12.707689,695,4169,8.489616423646003,4864
133,2011-05-13,Summer,0,5,No Holiday,5,1,2,21.0125,24.715,86.33330000000001,12.041575,692,3413,8.31996102188653,4105
134,2011-05-14,Summer,0,5,No Holiday,6,0,2,21.354153,25.03145,92.25,9.041649999999999,902,2507,8.134174272137903,3409
135,2011-05-15,Summer,0,5,No Holiday,0,0,2,23.0625,26.8,86.70830000000001,10.249593,1582,2971,8.423541635334782,4553
136,2011-05-16,Summer,0,5,No Holiday,1,1,1,23.677500000000002,27.5256,78.79169999999999,8.500357000000001,773,3185,8.28349412616251,3958
137,2011-05-17,Summer,0,5,No Holiday,2,1,2,23.028347,26.926450000000003,83.7917,18.582718,678,3445,8.3243363327069,4123
138,2011-05-18,Summer,0,5,No Holiday,3,1,2,22.55,26.3579,87.0,13.499964,536,3319,8.25712628599743,3855
139,2011-05-19,Summer,0,5,No Holiday,4,1,2,21.764153,25.537100000000002,82.9583,7.250271000000001,735,3840,8.428361977709622,4575
140,2011-05-20,Summer,0,5,No Holiday,5,1,1,22.003347,26.4521,71.9583,8.375871,909,4008,8.50045386741194,4917
141,2011-05-21,Summer,0,5,No Holiday,6,0,1,24.7025,28.59875,62.6667,8.083549999999999,2258,3547,8.666474894131992,5805
142,2011-05-22,Summer,0,5,No Holiday,0,0,1,24.770847,28.725,74.9583,9.916536,1576,3084,8.446770727119691,4660
143,2011-05-23,Summer,0,5,No Holiday,1,1,2,25.898346999999998,29.5148,81.0,15.667413999999999,836,3438,8.360305435879093,4274
144,2011-05-24,Summer,0,5,No Holiday,2,1,2,27.060000000000002,30.240650000000002,74.0833,13.875164,659,3833,8.410053315858335,4492
145,2011-05-25,Summer,0,5,No Holiday,3,1,1,27.094153,30.7771,69.625,10.333611000000001,740,4238,8.512783482927537,4978
146,2011-05-26,Summer,0,5,No Holiday,4,1,1,29.041653,32.7344,67.75,13.376014,758,3919,8.450412157725886,4677
147,2011-05-27,Summer,0,5,No Holiday,5,1,1,27.948347000000002,31.8504,65.375,16.125493,871,3808,8.450839690866216,4679
148,2011-05-28,Summer,0,5,No Holiday,6,0,1,26.889153,30.61895,72.9583,15.416164,2001,2757,8.467582690862903,4758
149,2011-05-29,Summer,0,5,No Holiday,0,0,1,27.3675,30.777500000000003,81.875,14.333846,2355,2433,8.473868066677865,4788
150,2011-05-30,Summer,0,5,Holiday,1,0,1,30.066653000000002,33.5546,68.5,8.792075,1549,2549,8.318254328798846,4098
151,2011-05-31,Summer,0,5,No Holiday,2,1,1,31.775000000000002,36.26915,63.6667,7.459042999999999,673,3309,8.289539484624141,3982
152,2011-06-01,Summer,0,6,No Holiday,3,1,2,31.330847000000002,36.04835,67.7083,13.875164,513,3461,8.287528423111763,3974
153,2011-06-02,Summer,0,6,No Holiday,4,1,1,29.314999999999998,32.1971,30.5,19.583229000000003,736,4232,8.510772623613315,4968
154,2011-06-03,Summer,0,6,No Holiday,5,1,1,25.419999999999998,29.356650000000002,35.4167,16.959107,898,4414,8.57772369115627,5312
155,2011-06-04,Summer,0,6,No Holiday,6,0,1,26.035,29.7348,45.625,8.250514,1869,3473,8.583355393669907,5342
156,2011-06-05,Summer,0,6,No Holiday,0,0,2,26.581653000000003,30.8402,65.25,9.292364000000001,1685,3221,8.498214224818435,4906
157,2011-06-06,Summer,0,6,No Holiday,1,1,1,27.811653,31.0929,60.0,8.167032,673,3875,8.422442854870427,4548
158,2011-06-07,Summer,0,6,No Holiday,2,1,1,29.0075,32.7975,59.791700000000006,12.583136,763,4070,8.483222671845084,4833
159,2011-06-08,Summer,0,6,No Holiday,3,1,1,31.809153,36.36395,62.20830000000001,9.166739,676,3725,8.38958706681109,4401
160,2011-06-09,Summer,0,6,No Holiday,4,1,2,33.141653,37.87895,56.833299999999994,10.042161,563,3352,8.272570608424903,3915
161,2011-06-10,Summer,0,6,No Holiday,5,1,1,30.955000000000002,35.1646,60.5,9.417118,815,3771,8.43076346341785,4586
162,2011-06-11,Summer,0,6,No Holiday,6,0,1,29.724999999999998,33.901900000000005,65.45830000000001,10.374949999999998,1729,3237,8.510369966068112,4966
163,2011-06-12,Summer,0,6,No Holiday,0,0,1,28.392500000000002,32.166250000000005,74.7917,10.958988999999999,1467,2993,8.40290404501411,4460
164,2011-06-13,Summer,0,6,No Holiday,1,1,1,26.035,30.082700000000003,49.4583,20.45845,863,4157,8.521185212685776,5020
165,2011-06-14,Summer,0,6,No Holiday,2,1,1,24.770847,29.5773,50.708299999999994,18.041961,727,4164,8.495152060539358,4891
166,2011-06-15,Summer,0,6,No Holiday,3,1,1,25.693347,29.3877,47.1667,11.250104,769,4411,8.55256033525353,5180
167,2011-06-16,Summer,0,6,No Holiday,4,1,2,25.761653000000003,29.767300000000002,68.8333,13.833556999999999,545,3222,8.23403420769204,3767
168,2011-06-17,Summer,0,6,No Holiday,5,1,1,26.615847000000002,30.01915,73.5833,9.582942999999998,863,3981,8.485496104672983,4844
169,2011-06-18,Summer,0,6,No Holiday,6,0,1,28.563347,32.197700000000005,67.0417,8.000336,1807,3312,8.540714386457584,5119
170,2011-06-19,Summer,0,6,No Holiday,0,0,2,28.665847,32.292300000000004,66.6667,6.834,1639,3105,8.464635940677562,4744
171,2011-06-20,Summer,0,6,No Holiday,1,1,2,26.035,29.767300000000002,74.625,10.416825,699,3311,8.296546520300614,4010
172,2011-06-21,Autumn,0,6,No Holiday,2,1,2,27.914153000000002,31.8823,77.0417,11.458675000000001,774,4061,8.483636407887394,4835
173,2011-06-22,Autumn,0,6,No Holiday,3,1,1,30.066653000000002,34.69145,70.75,11.541554,661,3846,8.413387022690648,4507
174,2011-06-23,Autumn,0,6,No Holiday,4,1,2,29.861653,34.69165,70.3333,15.999868,746,4044,8.474285690404962,4790
175,2011-06-24,Autumn,0,6,No Holiday,5,1,1,29.690847,32.82915,57.3333,14.875675,969,4022,8.515391569469609,4991
176,2011-06-25,Autumn,0,6,No Holiday,6,0,1,28.494999999999997,32.16565,48.3333,14.041257,1782,3420,8.556798446008598,5202
177,2011-06-26,Autumn,0,6,No Holiday,0,0,1,27.880000000000003,31.88145,51.3333,6.3337311,1920,3385,8.576405051048084,5305
178,2011-06-27,Autumn,0,6,No Holiday,1,1,2,27.982499999999998,31.8502,65.8333,7.2083960000000005,854,3854,8.457018468380168,4708
179,2011-06-28,Autumn,0,6,No Holiday,2,1,1,30.510847000000002,34.6279,63.416700000000006,9.666960999999999,732,3916,8.444192298531748,4648
180,2011-06-29,Autumn,0,6,No Holiday,3,1,1,29.861653,32.7344,49.7917,17.542007,848,4377,8.561210076833012,5225
181,2011-06-30,Autumn,0,6,No Holiday,4,1,1,28.563347,31.8504,43.416700000000006,12.415904000000001,1027,4488,8.615226931687603,5515
182,2011-07-01,Autumn,0,7,No Holiday,5,1,1,29.622500000000002,32.6081,39.625,6.874736,1246,4116,8.587092318795905,5362
183,2011-07-02,Autumn,0,7,No Holiday,6,0,1,30.271653,33.3654,44.4583,7.709154,2204,2915,8.540714386457584,5119
184,2011-07-03,Autumn,0,7,No Holiday,0,0,2,29.383347,33.42875,68.25,15.333486,2282,2367,8.444407421690585,4649
185,2011-07-04,Autumn,0,7,Holiday,1,0,2,29.793346999999997,33.27085,63.7917,5.4591064000000005,3065,2978,8.706655856361559,6043
186,2011-07-05,Autumn,0,7,No Holiday,2,1,1,30.613346999999997,34.816900000000004,59.0417,8.459286,1031,3634,8.447843113281444,4665
187,2011-07-06,Autumn,0,7,No Holiday,3,1,1,29.52,34.28165,74.33330000000001,10.042161,784,3845,8.44009614103127,4629
188,2011-07-07,Autumn,0,7,No Holiday,4,1,1,30.75,34.34355,65.125,10.666400000000001,754,3838,8.432070937999402,4592
189,2011-07-08,Autumn,0,7,No Holiday,5,1,2,29.075847,33.524150000000006,75.79169999999999,15.083643,692,3348,8.303999970955196,4040
190,2011-07-09,Autumn,0,7,No Holiday,6,0,1,30.066653000000002,33.2079,60.9167,11.250104,1988,3348,8.58223158759546,5336
191,2011-07-10,Autumn,0,7,No Holiday,0,0,1,30.6475,34.50125,57.8333,12.292557,1743,3138,8.493105395887147,4881
192,2011-07-11,Autumn,0,7,No Holiday,1,1,1,31.2625,36.4902,63.5833,18.916579,723,3363,8.315321775377567,4086
193,2011-07-12,Autumn,0,7,No Holiday,2,1,1,32.560846999999995,36.96375,55.9167,13.417017999999999,662,3596,8.356554845453426,4258
194,2011-07-13,Autumn,0,7,No Holiday,3,1,1,30.613346999999997,34.4702,63.1667,9.790911000000001,748,3594,8.376090350438238,4342
195,2011-07-14,Autumn,0,7,No Holiday,4,1,1,27.914153000000002,31.7552,47.625,16.124689,888,4196,8.533853632309345,5084
196,2011-07-15,Autumn,0,7,No Holiday,5,1,1,27.196652999999998,31.21855,59.12500000000001,12.249811,1318,4220,8.619388703730907,5538
197,2011-07-16,Autumn,0,7,No Holiday,6,0,1,28.153347,31.91315,58.5,13.958914,2418,3505,8.686598356276965,5923
198,2011-07-17,Autumn,0,7,No Holiday,0,0,1,29.485847,33.49165,60.4167,16.417211,2006,3296,8.57583938684897,5302
199,2011-07-18,Autumn,0,7,No Holiday,1,1,1,30.613346999999997,35.19625,65.125,14.458867999999999,841,3617,8.402455513945814,4458
200,2011-07-19,Autumn,0,7,No Holiday,2,1,1,31.843347,37.37395,65.0417,8.7502,752,3789,8.420902531097951,4541
201,2011-07-20,Autumn,0,7,No Holiday,3,1,1,31.501653,37.3425,70.70830000000001,7.625739,644,3688,8.37378460812088,4332
202,2011-07-21,Autumn,0,7,No Holiday,4,1,2,33.415,41.31855,69.125,14.875407,632,3152,8.238536930171769,3784
203,2011-07-22,Autumn,0,7,No Holiday,5,1,1,34.781653,42.0448,58.0417,8.9177,562,2825,8.127699852817772,3387
